Genus,Species,Canopy/Substrate,Phylum,CoralNetCode,Hex Code,Mobile/Sessile,Bad,Notes
Aeolidia,papillosa,,Mollusca,APA,#ef72fb,mobile,,
Agarum,clathratum,(canopy),Heterokontophyta,ACC,#e92e33,sessile,,
Agarum,clathratum,(substratum),Heterokontophyta,ACSUB,#4f038f,sessile,,
Alaria,esculenta,(canopy),Heterokontophyta,AEC,#758cd6,sessile,,
Alaria,esculenta,(substratum),Heterokontophyta,AES,#28ab22,sessile,,
Alcyonium,siderium,(canopy),Cnidaria,ALC,#e0db7c,sessile,,
Alcyonium,siderium,(substratum),Cnidaria,ALS,#ba8b08,sessile,,
Ancula,gibbosa,,Mollusca,ANC,#dd486b,mobile,,
Anomia,simplex,,Mollusca,ANS,#a6c089,sessile,,
Anomia/Heteranomia,spp.,,Mollusca,ANO,#8c5b9e,sessile,,
Aplidium,glabrum,,Chordata,AGL,#fa233d,sessile,,
Aplysilla,sp.,,Porifera,APL,#cadfd8,sessile,,
Artemesina,sp.,,Porifera,ARTE,#61a4bb,sessile,,
Ascidians: unstalked,colonial,,Chordata,ASUC,#81240a,sessile,,
Ascidians: unstalked,solitary,,Chordata,ASUS,#05e496,sessile,,
Ascidiella,aspersa,,Chordata,ASC,#e1d80f,sessile,,
Asterias,spp.,,Echinodermata,AST,#5e6577,mobile,,
Astrangia,poculata,,Cnidaria,ASTRA,#5e6577,sessile,,
Bad,point,,Other,BAD,#07d445,bad,,removed already from total pixel count
Balanus/Amphibalanus,spp.,,Arthropoda,BAS,#d04e44,sessile,,
Bangiaceae,(canopy),,Rhodophyta,BANC,#960a22,sessile,,
Bangiaceae,(substratum),,Rhodophyta,BANS,#9ab849,sessile,,
Bare,space,,Rock,Rock,#7b3241,sessile,,
Boltenia,echinata,,Chordata,BEC,#d0265c,sessile,,
Boltenia,ovifera,(canopy),Chordata,BOC,#7e13d4,sessile,,
Boltenia,ovifera,(substratum),Chordata,BOS,#d6a595,sessile,,
Botrylloides,violaceus,,Chordata,BOVO,#b42f5e,sessile,,
Botryllus,schlosseri,,Chordata,BSC,#52cdce,sessile,,
Buccinum,undatum,,Mollusca,BUC,#f504db,mobile,,
Bugula,neritina,(canopy),Bryozoa,BNC,#196348,sessile,,
Bugula,neritina,(substratum),Bryozoa,BNS,#3d1886,sessile,,
Bugula,simplex,(canopy),Bryozoa,BSI,#32352c,sessile,,
Bugula,simplex,(substratum),Bryozoa,BSS,#9281ab,sessile,,
