Image,class,pixels_predicted,pixels_expanded,total pixels in image
2009_HRI/Mid/HRI082009VC1AB-112F.png,BACK,40880,162185,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,AGL,832,12516,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,AST,832,1441,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,CCAP,566992,434822,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,DROE,21232,19693,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,FRM,43072,34100,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,HBCO,97392,99886,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,ISS,14512,17024,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,URF,688,956,786432
2009_HRI/Mid/HRI082009VC2AB-113F.png,BACK,13056,52596,786432
2009_HRI/Mid/HRI082009VC2AB-113F.png,CCAP,599936,582812,786432
2009_HRI/Mid/HRI082009VC2AB-113F.png,FRM,97904,75056,786432
2009_HRI/Mid/HRI082009VC2AB-113F.png,HBCO,74976,59988,786432
2009_HRI/Mid/HRI082009VC2AB-113F.png,URF,560,9301,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,BACK,7056,127205,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,CCAP,696544,539157,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,FRM,29392,27742,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,HBCO,47984,82098,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,URF,5456,7665,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,BACK,9728,79213,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,CCAP,617168,606343,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,DROE,20256,21502,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,FRM,106896,30095,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,HBCO,30176,45314,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,URF,2208,104,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,BACK,11168,234861,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,CCAP,655376,431570,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,FRM,33648,27467,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,HBCO,85632,82991,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,ISS,608,1930,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,BACK,182464,81012,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,AGL,112,2887,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,CCAP,423440,540407,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,DIP,17248,0,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,ESSU,4640,0,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,FRM,34448,35279,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,HAPA,5952,0,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,HBCO,63296,65346,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,ISS,52304,46391,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,MSS,48,0,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,URF,2480,6301,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,BACK,6752,29976,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,CCAP,680576,661953,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,DROE,17120,17667,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,ESSU,1360,30963,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,FRM,71856,43261,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,HBCO,2960,0,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,ISS,5808,0,786432
2009_HRI/Mid/HRI082009WA2AB-115F.png,BACK,43312,104991,786432
2009_HRI/Mid/HRI082009WA2AB-115F.png,CCAP,626080,589092,786432
2009_HRI/Mid/HRI082009WA2AB-115F.png,ESSU,29200,23911,786432
2009_HRI/Mid/HRI082009WA2AB-115F.png,FRM,77152,65988,786432
2009_HRI/Mid/HRI082009WA2AB-115F.png,HBCO,10688,1788,786432
2009_HRI/Mid/HRI082009WA3AB-116F.png,BACK,21680,75939,786432
2009_HRI/Mid/HRI082009WA3AB-116F.png,CCAP,654864,661750,786432
2009_HRI/Mid/HRI082009WA3AB-116F.png,DVE,16,0,786432
2009_HRI/Mid/HRI082009WA3AB-116F.png,FRM,23072,14850,786432
2009_HRI/Mid/HRI082009WA3AB-116F.png,HBCO,86800,27930,786432
2009_HRI/Mid/HRI082009WA4AB-118F.png,BACK,12816,97072,786432
2009_HRI/Mid/HRI082009WA4AB-118F.png,CCAP,677904,653616,786432
2009_HRI/Mid/HRI082009WA4AB-118F.png,FRM,26704,22923,786432
2009_HRI/Mid/HRI082009WA4AB-118F.png,HBCO,68736,5805,786432
2009_HRI/Mid/HRI082009WA4AB-118F.png,ISS,272,5540,786432
2009_HRI/Shallow/HRI082009VS1AB-135F.png,BACK,9408,55949,786432
2009_HRI/Shallow/HRI082009VS1AB-135F.png,CCAP,292496,289424,786432
2009_HRI/Shallow/HRI082009VS1AB-135F.png,DIP,28128,30545,786432
2009_HRI/Shallow/HRI082009VS1AB-135F.png,DROE,39824,25223,786432
2009_HRI/Shallow/HRI082009VS1AB-135F.png,ESSU,278752,260319,786432
2009_HRI/Shallow/HRI082009VS1AB-135F.png,FRM,16240,15484,786432
2009_HRI/Shallow/HRI082009VS1AB-135F.png,HAPA,121584,108595,786432
2009_HRI/Shallow/HRI082009VS2AB-136F.png,BACK,18288,68417,786432
2009_HRI/Shallow/HRI082009VS2AB-136F.png,CCAP,339632,281480,786432
2009_HRI/Shallow/HRI082009VS2AB-136F.png,DIP,149184,138121,786432
2009_HRI/Shallow/HRI082009VS2AB-136F.png,DROE,25696,25251,786432
2009_HRI/Shallow/HRI082009VS2AB-136F.png,ESSU,205280,189505,786432
2009_HRI/Shallow/HRI082009VS2AB-136F.png,FRM,24656,22880,786432
2009_HRI/Shallow/HRI082009VS2AB-136F.png,HBCO,14784,46214,786432
2009_HRI/Shallow/HRI082009VS2AB-136F.png,ISS,8912,14564,786432
2009_HRI/Shallow/HRI082009VS3AB-138F.png,BACK,15408,63122,786432
2009_HRI/Shallow/HRI082009VS3AB-138F.png,CCAP,230560,235715,786432
2009_HRI/Shallow/HRI082009VS3AB-138F.png,DIP,146800,129338,786432
2009_HRI/Shallow/HRI082009VS3AB-138F.png,DVE,10640,14048,786432
2009_HRI/Shallow/HRI082009VS3AB-138F.png,ESSU,298912,259261,786432
2009_HRI/Shallow/HRI082009VS3AB-138F.png,FRM,18704,17990,786432
2009_HRI/Shallow/HRI082009VS3AB-138F.png,HAPA,49920,40777,786432
2009_HRI/Shallow/HRI082009VS3AB-138F.png,HBCO,15488,20845,786432
2009_HRI/Shallow/HRI082009VS4AB-132F.png,BACK,27744,75877,786432
2009_HRI/Shallow/HRI082009VS4AB-132F.png,AST,40464,35054,786432
2009_HRI/Shallow/HRI082009VS4AB-132F.png,CCAP,163760,144771,786432
2009_HRI/Shallow/HRI082009VS4AB-132F.png,DROE,102960,106721,786432
2009_HRI/Shallow/HRI082009VS4AB-132F.png,ESSU,230400,201711,786432
2009_HRI/Shallow/HRI082009VS4AB-132F.png,FRM,21072,19806,786432
2009_HRI/Shallow/HRI082009VS4AB-132F.png,HAPA,167216,155306,786432
2009_HRI/Shallow/HRI082009VS4AB-132F.png,HBCO,2032,11527,786432
2009_HRI/Shallow/HRI082009VS4AB-132F.png,URF,30784,34158,786432
2009_HRI/Shallow/HRI082009VS5AB-139F.png,BACK,9072,54698,786432
2009_HRI/Shallow/HRI082009VS5AB-139F.png,CCAP,275856,258800,786432
2009_HRI/Shallow/HRI082009VS5AB-139F.png,ESSU,434880,366064,786432
2009_HRI/Shallow/HRI082009VS5AB-139F.png,FRM,3824,4172,786432
2009_HRI/Shallow/HRI082009VS5AB-139F.png,HBCO,8144,45591,786432
2009_HRI/Shallow/HRI082009VS5AB-139F.png,MSS,54656,52785,786432
