Image,class,pixels,total pixels in image
HRD/1989 HRD/Mid/images/image014.png,BACK,293696,786432
HRD/1989 HRD/Mid/images/image014.png,CCAP,94624,786432
HRD/1989 HRD/Mid/images/image014.png,DROE,7040,786432
HRD/1989 HRD/Mid/images/image014.png,FRM,26912,786432
HRD/1989 HRD/Mid/images/image014.png,GRS,35632,786432
HRD/1989 HRD/Mid/images/image014.png,HBCO,117312,786432
HRD/1989 HRD/Mid/images/image014.png,MSS,211216,786432
HRD/1989 HRD/Mid/images/image015.png,BACK,284560,786432
HRD/1989 HRD/Mid/images/image015.png,CCAP,16416,786432
HRD/1989 HRD/Mid/images/image015.png,FRM,31568,786432
HRD/1989 HRD/Mid/images/image015.png,GRS,73440,786432
HRD/1989 HRD/Mid/images/image015.png,HBCO,289376,786432
HRD/1989 HRD/Mid/images/image015.png,MSS,77552,786432
HRD/1989 HRD/Mid/images/image015.png,URF,13520,786432
HRD/1989 HRD/Mid/images/image016.png,BACK,257600,786432
HRD/1989 HRD/Mid/images/image016.png,CCAP,6880,786432
HRD/1989 HRD/Mid/images/image016.png,DROE,14928,786432
HRD/1989 HRD/Mid/images/image016.png,FRM,70000,786432
HRD/1989 HRD/Mid/images/image016.png,GRS,115552,786432
HRD/1989 HRD/Mid/images/image016.png,HBCO,298592,786432
HRD/1989 HRD/Mid/images/image016.png,MSS,22880,786432
HRD/1989 HRD/Mid/images/image017.png,BACK,263280,786432
HRD/1989 HRD/Mid/images/image017.png,CCAP,8400,786432
HRD/1989 HRD/Mid/images/image017.png,DROE,19040,786432
HRD/1989 HRD/Mid/images/image017.png,FRM,44560,786432
HRD/1989 HRD/Mid/images/image017.png,GRS,105504,786432
HRD/1989 HRD/Mid/images/image017.png,HBCO,306528,786432
HRD/1989 HRD/Mid/images/image017.png,MSS,35120,786432
HRD/1989 HRD/Mid/images/image017.png,URF,4000,786432
HRD/1989 HRD/Mid/images/image018.png,BACK,232320,786432
HRD/1989 HRD/Mid/images/image018.png,AGL,64,786432
HRD/1989 HRD/Mid/images/image018.png,CCAP,3712,786432
HRD/1989 HRD/Mid/images/image018.png,DROE,3472,786432
HRD/1989 HRD/Mid/images/image018.png,FRM,22400,786432
HRD/1989 HRD/Mid/images/image018.png,GRS,41584,786432
HRD/1989 HRD/Mid/images/image018.png,HBCO,410272,786432
HRD/1989 HRD/Mid/images/image018.png,ISS,1648,786432
HRD/1989 HRD/Mid/images/image018.png,MSS,64432,786432
HRD/1989 HRD/Mid/images/image018.png,URF,6528,786432
HRD/1989 HRD/Mid/images/image019.png,BACK,232688,786432
HRD/1989 HRD/Mid/images/image019.png,BAS,304,786432
HRD/1989 HRD/Mid/images/image019.png,CCAP,53808,786432
HRD/1989 HRD/Mid/images/image019.png,DROE,10192,786432
HRD/1989 HRD/Mid/images/image019.png,FRM,60528,786432
HRD/1989 HRD/Mid/images/image019.png,GRS,19952,786432
HRD/1989 HRD/Mid/images/image019.png,HBCO,389072,786432
HRD/1989 HRD/Mid/images/image019.png,ISS,5632,786432
HRD/1989 HRD/Mid/images/image019.png,MSS,14256,786432
HRD/1989 HRD/Mid/images/image020.png,BACK,269584,786432
HRD/1989 HRD/Mid/images/image020.png,BOVO,272,786432
HRD/1989 HRD/Mid/images/image020.png,CCAP,3552,786432
HRD/1989 HRD/Mid/images/image020.png,FRM,44832,786432
HRD/1989 HRD/Mid/images/image020.png,GRS,9488,786432
HRD/1989 HRD/Mid/images/image020.png,HBCO,382032,786432
HRD/1989 HRD/Mid/images/image020.png,MSS,45360,786432
HRD/1989 HRD/Mid/images/image020.png,URF,31312,786432
HRD/1989 HRD/Mid/images/image021.png,BACK,298256,786432
HRD/1989 HRD/Mid/images/image021.png,AGL,112,786432
HRD/1989 HRD/Mid/images/image021.png,CCAP,163904,786432
HRD/1989 HRD/Mid/images/image021.png,DROE,5872,786432
HRD/1989 HRD/Mid/images/image021.png,FRM,22416,786432
HRD/1989 HRD/Mid/images/image021.png,GRS,5536,786432
HRD/1989 HRD/Mid/images/image021.png,HBCO,249920,786432
HRD/1989 HRD/Mid/images/image021.png,MSS,29296,786432
HRD/1989 HRD/Mid/images/image021.png,URF,11120,786432
