Image,class,pixels_predicted,pixels_expanded,total pixels in image
2009_HRI/Mid/HRI082009VC1AB-112F.png,BACK,54640,162185,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,CCAP,562096,434822,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,DROE,20384,19693,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,FRM,38144,34100,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,HBCO,92944,99886,786432
2009_HRI/Mid/HRI082009VC1AB-112F.png,ISS,18224,17024,786432
2009_HRI/Mid/HRI082009VC2AB-113F.png,BACK,13904,52596,786432
2009_HRI/Mid/HRI082009VC2AB-113F.png,CCAP,586880,582812,786432
2009_HRI/Mid/HRI082009VC2AB-113F.png,FRM,115584,75056,786432
2009_HRI/Mid/HRI082009VC2AB-113F.png,HBCO,70064,59988,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,BACK,26240,127205,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,CCAP,670272,539157,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,FRM,29456,27742,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,HBCO,42960,82098,786432
2009_HRI/Mid/HRI082009VC3AB-109fF.png,URF,17504,7665,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,BACK,18304,79213,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,CCAP,616336,606343,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,DROE,19472,21502,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,FRM,106800,30095,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,HBCO,24800,45314,786432
2009_HRI/Mid/HRI082009VC4AB-110F.png,URF,720,104,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,BACK,24640,234861,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,CCAP,639264,431570,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,FRM,35952,27467,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,HBCO,85456,82991,786432
2009_HRI/Mid/HRI082009VC6A7A-114F.png,ISS,1120,1930,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,BACK,199200,81012,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,CCAP,449200,540407,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,FRM,33680,35279,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,HBCO,48064,65346,786432
2009_HRI/Mid/HRI082009VC6B7B-111F.png,ISS,56288,46391,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,BACK,9232,29976,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,CCAP,677024,661953,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,DROE,16528,17667,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,FRM,69680,43261,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,HBCO,6720,0,786432
2009_HRI/Mid/HRI082009WA1AB-117F.png,ISS,7248,0,786432
2009_HRI/Mid/HRI082009WA2AB-115F.png,BACK,62960,104991,786432
