species,year,BO21_tempmax_bdmin_mean,central_depth
Alcyonium siderium,1991,16.4871509585839,NA
Alcyonium siderium,1995,16.4871509585839,7.000000000000001
Alcyonium siderium,2001,16.4871509585839,13.687281611820715
Alcyonium siderium,2002,16.4871509585839,7.000000000000001
Alcyonium siderium,2004,16.4871509585839,15
Alcyonium siderium,2006,16.4871509585839,NA
Alcyonium siderium,2008,16.4871509585839,6.999999999999999
Alcyonium siderium,2009,16.4871509585839,NA
Alcyonium siderium,2010,16.4871509585839,15.000000000000002
Alcyonium siderium,2012,16.4871509585839,7
Alcyonium siderium,2013,16.4871509585839,7
Alcyonium siderium,2014,16.4871509585839,7
Alcyonium siderium,2015,16.4871509585839,NA
Alcyonium siderium,2017,16.4871509585839,NA
Alcyonium siderium,2018,16.4871509585839,NA
Alcyonium siderium,2020,16.4871509585839,NA
Alcyonium siderium,2022,16.4871509585839,NA
Alcyonium siderium,2023,16.4871509585839,NA
Aplidium glabrum,1991,16.4223903122476,16
Aplidium glabrum,1995,16.4223903122476,8.285990418271057
Aplidium glabrum,2001,16.4223903122476,12.581029382902596
Aplidium glabrum,2002,16.4223903122476,15.243262604609566
Aplidium glabrum,2004,16.4223903122476,15.842250919935106
Aplidium glabrum,2006,16.4223903122476,13.708340236657758
Aplidium glabrum,2008,16.4223903122476,18.036910018337952
Aplidium glabrum,2009,16.4223903122476,16.035156829188065
Aplidium glabrum,2010,16.4223903122476,9.674901067705047
Aplidium glabrum,2012,16.4223903122476,NA
Aplidium glabrum,2013,16.4223903122476,10.798003283155609
Aplidium glabrum,2014,16.4223903122476,13.507717464004624
Aplidium glabrum,2015,16.4223903122476,11.00726085941529
Aplidium glabrum,2017,16.4223903122476,16
Aplidium glabrum,2018,16.4223903122476,15.99300920224968
Aplidium glabrum,2020,16.4223903122476,NA
Aplidium glabrum,2022,16.4223903122476,NA
Aplidium glabrum,2023,16.4223903122476,13.867324660833122
Balanus and Amphibalanus spp.,1991,15.1672161724484,22.635867551541615
Balanus and Amphibalanus spp.,1995,15.1672161724484,22.069234751487116
Balanus and Amphibalanus spp.,2001,15.1672161724484,21.86657341061591
Balanus and Amphibalanus spp.,2002,15.1672161724484,25.119933784768048
Balanus and Amphibalanus spp.,2004,15.1672161724484,9.433335153050992
Balanus and Amphibalanus spp.,2006,15.1672161724484,15.571251246414876
Balanus and Amphibalanus spp.,2008,15.1672161724484,9.09534580232522
Balanus and Amphibalanus spp.,2009,15.1672161724484,11.398869319431148
Balanus and Amphibalanus spp.,2010,15.1672161724484,11.066004695008383
Balanus and Amphibalanus spp.,2012,15.1672161724484,9.406754024378415
Balanus and Amphibalanus spp.,2013,15.1672161724484,11.216704197469632
Balanus and Amphibalanus spp.,2014,15.1672161724484,15.000000000000002
Balanus and Amphibalanus spp.,2015,15.1672161724484,15
Balanus and Amphibalanus spp.,2017,15.1672161724484,NA
Balanus and Amphibalanus spp.,2018,15.1672161724484,15.554663156463004
Balanus and Amphibalanus spp.,2020,15.1672161724484,14.401553837170102
Balanus and Amphibalanus spp.,2022,15.1672161724484,7.001693017839546
Balanus and Amphibalanus spp.,2023,15.1672161724484,11.493859784261382
Botrylloides violaceus,1991,19.947184435472,12.789869710025089
