species,decade,BO21_tempmax_bdmin_mean,central_depth
Alcyonium siderium,1989-2000,16.4871509585839,7.000000000000001
Alcyonium siderium,2001-2010,16.4871509585839,11.537456322364143
Alcyonium siderium,2011-2023,16.4871509585839,7
Aplidium glabrum,1989-2000,16.4223903122476,12.142995209135528
Aplidium glabrum,2001-2010,16.4223903122476,14.445978722762298
Aplidium glabrum,2011-2023,16.4223903122476,13.52888591160972
Balanus and Amphibalanus spp.,1989-2000,15.1672161724484,22.352551151514366
Balanus and Amphibalanus spp.,2001-2010,15.1672161724484,14.793044773087797
Balanus and Amphibalanus spp.,2011-2023,15.1672161724484,12.38440350219776
Botrylloides violaceus,1989-2000,19.947184435472,11.220130425541054
Botrylloides violaceus,2001-2010,19.947184435472,16.791842692344833
Botrylloides violaceus,2011-2023,19.947184435472,20.947895385507117
Crustose Coralline Algae pink,1989-2000,NA,15.905105374336973
Crustose Coralline Algae pink,2001-2010,NA,15.440082665250792
Crustose Coralline Algae pink,2011-2023,NA,15.334719341387023
Didemnum vexillum,1989-2000,17.2458409251783,NA
Didemnum vexillum,2001-2010,17.2458409251783,19.573137064558512
Didemnum vexillum,2011-2023,17.2458409251783,14.302826286779458
Diplosoma listerianum,1989-2000,18.6695952263858,7.915201643480085
Diplosoma listerianum,2001-2010,18.6695952263858,14.50580246670307
Diplosoma listerianum,2011-2023,18.6695952263858,17.45
Ectopleura spp.,1989-2000,18.9097932073017,13.001187855846325
Ectopleura spp.,2001-2010,18.9097932073017,9.02291366869848
Ectopleura spp.,2011-2023,18.9097932073017,18.772794417959783
Gersemia rubiformis,1989-2000,8.55259609306272,23.239420206913536
Gersemia rubiformis,2001-2010,8.55259609306272,23.1262368650186
Gersemia rubiformis,2011-2023,8.55259609306272,23.784390226545923
Halichondria panicea,1989-2000,16.4127689250527,10.165035853276269
Halichondria panicea,2001-2010,16.4127689250527,18.292467976953315
Halichondria panicea,2011-2023,16.4127689250527,25.294
Hydrozoa-Bryozoa complex,1989-2000,NA,16.43203837748637
Hydrozoa-Bryozoa complex,2001-2010,NA,16.45770899691068
Hydrozoa-Bryozoa complex,2011-2023,NA,18.457960721680745
Isodictya spp.,1989-2000,19.603864133358,14.685271862705727
Isodictya spp.,2001-2010,19.603864133358,17.623151350693213
Isodictya spp.,2011-2023,19.603864133358,18.804179488675743
Metridium senile,1989-2000,16.5757883271677,14.008382581690249
Metridium senile,2001-2010,16.5757883271677,12.499683437093353
Metridium senile,2011-2023,16.5757883271677,13.006894335626923
Modiolus modiolus,1989-2000,16.5094526179754,20.02976261608731
Modiolus modiolus,2001-2010,16.5094526179754,19.164703653939313
Modiolus modiolus,2011-2023,16.5094526179754,22.752439082397796
Mytilus edulis,1989-2000,19.3869753147433,19.99073251510452
Mytilus edulis,2001-2010,19.3869753147433,15.39054065025839
Mytilus edulis,2011-2023,19.3869753147433,18.262781207692896
Unidentified red fleshy crust,1989-2000,NA,18.37619214054502
Unidentified red fleshy crust,2001-2010,NA,17.315687417354713
Unidentified red fleshy crust,2011-2023,NA,10.532734418346207
