site,year,subsite,depth,file
HRI,1990,VC,Mid,./1990 HRI/Mid/HRI9007VC1A.11.jpg
HRI,1990,VC,Mid,./1990 HRI/Mid/HRI9007VC1B.12.jpg
HRI,1990,VC,Mid,./1990 HRI/Mid/HRI9007VC2A.13.jpg
HRI,1990,VC,Mid,./1990 HRI/Mid/HRI9007VC2B.14.jpg
HRI,1990,VC,Mid,./1990 HRI/Mid/HRI9007VC3A.07.jpg
HRI,1990,VC,Mid,./1990 HRI/Mid/HRI9007VC3B.08.jpg
HRI,1990,VC,Mid,./1990 HRI/Mid/HRI9007VC4A.09.jpg
HRI,1990,VC,Mid,./1990 HRI/Mid/HRI9007VC4B.10.jpg
HRI,1990,WA,Mid,./1990 HRI/Mid/HRI9007WA1A.15.jpg
HRI,1990,WA,Mid,./1990 HRI/Mid/HRI9007WA1B.16.jpg
HRI,1990,WA,Mid,./1990 HRI/Mid/HRI9007WA2A.18.jpg
HRI,1990,WA,Mid,./1990 HRI/Mid/HRI9007WA2B.19.jpg
HRI,1990,WA,Mid,./1990 HRI/Mid/HRI9007WA3A.17.jpg
HRI,1990,WA,Mid,./1990 HRI/Mid/HRI9007WA3B.20.jpg
HRI,1990,VS,Shallow,./1990 HRI/Shallow/HRI9007VS1A.29.jpg
HRI,1990,VS,Shallow,./1990 HRI/Shallow/HRI9007VS1B.30.jpg
HRI,1990,VS,Shallow,./1990 HRI/Shallow/HRI9007VS2A.34.jpg
HRI,1990,VS,Shallow,./1990 HRI/Shallow/HRI9007VS2B.31.jpg
HRI,1990,VS,Shallow,./1990 HRI/Shallow/HRI9007VS3A.33.jpg
HRI,1990,VS,Shallow,./1990 HRI/Shallow/HRI9007VS3B.32.jpg
HRI,1990,VS,Shallow,./1990 HRI/Shallow/HRI9007VS4A.36.jpg
HRI,1990,VS,Shallow,./1990 HRI/Shallow/HRI9007VS4B.35.jpg
HRI,1990,VS,Shallow,./1990 HRI/Shallow/HRI9007VS6A.37.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD13A.34.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD13B.35.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD14A.36.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD14B.37.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD1A.26.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD1B.27.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD2A.28.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD3A.23.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD3B.24.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD4B.25.jpg
HRO,1990,VDR,Mid,./1990 HRO/Mid/HRO9007VD4C.29.jpg
HRO,1990,VDL,Mid,./1990 HRO/Mid/HRO9007VD8A.30.jpg
HRO,1990,VDL,Mid,./1990 HRO/Mid/HRO9007VD8B.31.jpg
HRO,1990,VDL,Mid,./1990 HRO/Mid/HRO9007VD9A.32.jpg
HRO,1990,VDL,Mid,./1990 HRO/Mid/HRO9007VD9B.33.jpg
HRO,1990,VCT,Shallow,./1990 HRO/Shallow/HRO9007VC1B.11.jpg
HRO,1990,VCT,Shallow,./1990 HRO/Shallow/HRO9007VC2A.14.jpg
HRO,1990,VCT,Shallow,./1990 HRO/Shallow/HRO9007VC2B.15.jpg
HRO,1990,VCT,Shallow,./1990 HRO/Shallow/HRO9007VC3A.19.jpg
HRO,1990,VCT,Shallow,./1990 HRO/Shallow/HRO9007VC3B.20.jpg
HRO,1990,VCB,Shallow,./1990 HRO/Shallow/HRO9007VC4A.12.jpg
HRO,1990,VCB,Shallow,./1990 HRO/Shallow/HRO9007VC4B.13.jpg
HRO,1990,VCB,Shallow,./1990 HRO/Shallow/HRO9007VC5A.16.jpg
HRO,1990,VCB,Shallow,./1990 HRO/Shallow/HRO9007VC5B.17.jpg
