image,site,month,day,year,subsite,quadrat,photo_id,depth
HRI/2011 HRI/Mid/HRI072511VC1AB/864.png,HRI,07,25,2011,VC,1AB,864.png,Mid
HRI/2011 HRI/Mid/HRI072511VC2AB/865.png,HRI,07,25,2011,VC,2AB,865.png,Mid
HRI/2011 HRI/Mid/HRI072511VC3AB/860.png,HRI,07,25,2011,VC,3AB,860.png,Mid
HRI/2011 HRI/Mid/HRI072511VC4AB/861.png,HRI,07,25,2011,VC,4AB,861.png,Mid
HRI/2011 HRI/Mid/HRI072511VC6A7A/866.png,HRI,07,25,2011,VC,6A7A,866.png,Mid
HRI/2011 HRI/Mid/HRI072511VC6B7B/862.png,HRI,07,25,2011,VC,6B7B,862.png,Mid
HRI/2011 HRI/Mid/HRI072511WA1AB/869.png,HRI,07,25,2011,WA,1AB,869.png,Mid
HRI/2011 HRI/Mid/HRI072511WA2AB/872.png,HRI,07,25,2011,WA,2AB,872.png,Mid
HRI/2011 HRI/Mid/HRI072511WA3A4A/870.png,HRI,07,25,2011,WA,3A4A,870.png,Mid
HRI/2011 HRI/Mid/HRI072511WA3B4B/873.png,HRI,07,25,2011,WA,3B4B,873.png,Mid
HRI/2011 HRI/Shallow/HRI072511VS1AB/891.png,HRI,07,25,2011,VS,1AB,891.png,Shallow
HRI/2011 HRI/Shallow/HRI072511VS2AB/892.png,HRI,07,25,2011,VS,2AB,892.png,Shallow
HRI/2011 HRI/Shallow/HRI072511VS4AB/888.png,HRI,07,25,2011,VS,4AB,888.png,Shallow
HRI/2011 HRI/Shallow/HRI072511VS6AB/889.png,HRI,07,25,2011,VS,6AB,889.png,Shallow
HRI/2011 HRI/Shallow/HRI072511VS7AB/890.png,HRI,07,25,2011,VS,7AB,890.png,Shallow
HRI/2011 HRI/Shallow/HRI072511VS8AB/893.png,HRI,07,25,2011,VS,8AB,893.png,Shallow
HRI/2016 HRI/Mid/HRI070616VC3AB/32f.png,HRI,07,06,2016,VC,3AB,32f.png,Mid
HRI/2016 HRI/Mid/HRI070616VC4AB/33f.png,HRI,07,06,2016,VC,4AB,33f.png,Mid
HRI/2016 HRI/Mid/HRI070616VC6A7A/31f.png,HRI,07,06,2016,VC,6A7A,31f.png,Mid
HRI/2016 HRI/Mid/HRI070616WA1AB/21f.png,HRI,07,06,2016,WA,1AB,21f.png,Mid
HRI/2016 HRI/Mid/HRI070616WA2AB/23f.png,HRI,07,06,2016,WA,2AB,23f.png,Mid
HRI/2016 HRI/Mid/HRI070616WA3A4A/22f.png,HRI,07,06,2016,WA,3A4A,22f.png,Mid
HRI/2016 HRI/Mid/HRI070616WA3B4B/24f.png,HRI,07,06,2016,WA,3B4B,24f.png,Mid
HRI/2016 HRI/Shallow/HRI070616VS1AB/01f.png,HRI,07,06,2016,VS,1AB,01f.png,Shallow
HRI/2016 HRI/Shallow/HRI070616VS2AB/04f.png,HRI,07,06,2016,VS,2AB,04f.png,Shallow
HRI/2016 HRI/Shallow/HRI070616VS3AB/02f.png,HRI,07,06,2016,VS,3AB,02f.png,Shallow
HRI/2016 HRI/Shallow/HRI070616VS4AB/1Af.png,HRI,07,06,2016,VS,4AB-1A,f.png,Shallow
HRI/2016 HRI/Shallow/HRI070616VS5AB/05.png,HRI,07,06,2016,VS,5AB,05.png,Shallow
HRI/2016 HRI/Shallow/HRI070616VS6AB/03f.png,HRI,07,06,2016,VS,6AB,03f.png,Shallow
HRI/2016 HRI/Shallow/HRI070616VS7AB/06f.png,HRI,07,06,2016,VS,7AB,06f.png,Shallow
HRI/2016 HRI/Shallow/HRI070616VS8AB/07f.png,HRI,07,06,2016,VS,8AB,07f.png,Shallow
HRI/2016 HRI/Shallow/HRI070616VS9AB/08f.png,HRI,07,06,2016,VS,9AB,08f.png,Shallow
HRO/2011 HRO/Mid/HRO072511VDL5AB/916.png,HRO,07,25,2011,VDL,5AB,916.png,Mid
HRO/2011 HRO/Mid/HRO072511VDL6AB/917.png,HRO,07,25,2011,VDL,6AB,917.png,Mid
HRO/2011 HRO/Mid/HRO072511VDL8AB/919.png,HRO,07,25,2011,VDL,8AB,919.png,Mid
HRO/2011 HRO/Mid/HRO072511VDR1AB/912.png,HRO,07,25,2011,VDR,1AB,912.png,Mid
HRO/2011 HRO/Mid/HRO072511VDR2AB/913.png,HRO,07,25,2011,VDR,2AB,913.png,Mid
HRO/2011 HRO/Mid/HRO072511VDR3AB/914.png,HRO,07,25,2011,VDR,3AB,914.png,Mid
HRO/2011 HRO/Mid/HRO072511VDR4AB/915.png,HRO,07,25,2011,VDR,4AB,915.png,Mid
HRO/2011 HRO/Mid/HRO072511VDl7AB/918.png,HRO,07,25,2011,VDL,7AB,918.png,Mid
HRO/2016 HRO/Mid/HRO070616VDL5AB/397f.png,HRO,07,06,2016,VDL,5AB,397f.png,Mid
HRO/2016 HRO/Mid/HRO070616VDL6AB/396f.png,HRO,07,06,2016,VDL,6AB,396f.png,Mid
HRO/2016 HRO/Mid/HRO070616VDL7AB/399f.png,HRO,07,06,2016,VDL,7AB,399f.png,Mid
HRO/2016 HRO/Mid/HRO070616VDR1AB/393f.png,HRO,07,06,2016,VDR,1AB,393f.png,Mid
HRO/2016 HRO/Mid/HRO070616VDR2AB/392f.png,HRO,07,06,2016,VDR,2AB,392f.png,Mid
HRO/2016 HRO/Mid/HRO070616VDR3AB/395f.png,HRO,07,06,2016,VDR,3AB,395f.png,Mid
HRO/2016 HRO/Mid/HRO070616VDR4AB/394f.png,HRO,07,06,2016,VDR,4AB,394f.png,Mid
HRO/2016 HRO/Shallow/HRO070616VCB4AB/388f.png,HRO,07,06,2016,VCB,4AB,388f.png,Shallow
HRO/2016 HRO/Shallow/HRO070616VCB5AB/391f.png,HRO,07,06,2016,VCB,5AB,391f.png,Shallow
HRO/2016 HRO/Shallow/HRO070616VCB6AB/402f.png,HRO,07,06,2016,VCB,6AB,402f.png,Shallow
HRO/2016 HRO/Shallow/HRO070616VCT1AB/387f.png,HRO,07,06,2016,VCT,1AB,387f.png,Shallow
HRO/2016 HRO/Shallow/HRO070616VCT2AB/390f.png,HRO,07,06,2016,VCT,2AB,390f.png,Shallow
HRO/2016 HRO/Shallow/HRO070616VCT3AB/401f.png,HRO,07,06,2016,VCT,3AB,401f.png,Shallow
HRO/2016 HRO/Shallow/HRO070616VCT7AB/386f.png,HRO,07,06,2016,VCT,7AB,386f.png,Shallow
HRO/2016 HRO/Shallow/HRO070616VCT8AB/389f.png,HRO,07,06,2016,VCT,8AB,389f.png,Shallow
HRO/2016 HRO/Shallow/HRO070616VCT9AB/400f.png,HRO,07,06,2016,VCT,9AB,400f.png,Shallow
