site,subsite,year,year_cent,depth,average_depth,class,species,gen_spp,n_quads,proportion,species_id,n_obis_rec,BO21_tempmax_bdmean_mean,BO21_tempmax_bdmin_mean,BO21_tempmax_bdmin_max,BO21_tempmax_bdmean_q5,BO21_tempmax_bdmean_q95,area,location,depth_m,angle,date,month,day,no_qds,total_points,species_points,species_name
HRD,DW,1991,-15,Deep,25.9,AGL,Aplidium glabrum,Aplidium glabrum,9,0,103647,357,14.4398533779557,16.4223903122476,29.050708770752,5.33258810043335,20.533842086792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,ALS,Alcyonium siderium,Alcyonium digitatum,9,0.1118128602705031,125333,46188,15.3421502233283,16.4871509585839,24.4132137298584,12.3421993255615,18.7468719482422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,BAS,Balanus and Amphibalanus spp.,Balanus balanus,9,2.3027016447046495e-5,106213,5314,14.3062632502157,15.1672161724484,26.6752090454102,6.49046421051025,19.8198150634765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,BOVO,Botrylloides violaceus,Botrylloides violaceus,9,0.0010907173076932337,148715,3042,19.4342865574794,19.947184435472,31.1607685089111,14.4321365356445,29.0220985412598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,CCAP,Crustose Coralline Algae pink,NA,9,0.18494385040655717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,DIP,Diplosoma listerianum,Diplosoma listerianum,9,0,103579,3129,17.63909772444,18.6695952263858,31.3482112884521,12.994176864624,30.1686813354492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,DVE,Didemnum vexillum,Didemnum vexillum,9,0.0026624514923528518,250126,772,17.065951320469,17.2458409251783,23.92702293396,15.2845598220825,22.0747852325439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,ESSU,Ectopleura spp.,Ectopleura crocea,9,0.013430922479780859,117981,1568,16.8434295890477,18.9097932073017,31.3482112884521,15.5607042312622,22.5004081726074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,HAPA,Halichondria panicea,Halichondria panicea,9,5.756754111761624e-6,165853,15132,15.5530770344247,16.4127689250527,30.9831409454346,7.98520078659058,19.914571762085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,HBCO,Hydrozoa-Bryozoa complex,NA,9,0.3306074513830362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,ISS,Isodictya spp.,Isodictya deichmannae,9,0.0020109531604799377,157402,80,17.8710032701492,19.603864133358,22.7443351745605,11.4613450527191,21.7799606323242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,MSS,Metridium senile,Metridium senile,9,0.09853788774121276,100982,11332,15.5550825943243,16.5757883271677,30.9613056182861,11.85426902771,19.8262265205383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,MUSS,Mussel,NA,9,0.017149506202173346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1991,-15,Deep,25.9,URF,Unidentified red fleshy crust,NA,9,0.014594120763126864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,AGL,Aplidium glabrum,Aplidium glabrum,5,0,103647,357,14.4398533779557,16.4223903122476,29.050708770752,5.33258810043335,20.533842086792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,ALS,Alcyonium siderium,Alcyonium digitatum,5,0.032520802647703344,125333,46188,15.3421502233283,16.4871509585839,24.4132137298584,12.3421993255615,18.7468719482422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,BAS,Balanus and Amphibalanus spp.,Balanus balanus,5,0,106213,5314,14.3062632502157,15.1672161724484,26.6752090454102,6.49046421051025,19.8198150634765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,BOVO,Botrylloides violaceus,Botrylloides violaceus,5,1.9500614693289246e-4,148715,3042,19.4342865574794,19.947184435472,31.1607685089111,14.4321365356445,29.0220985412598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,CCAP,Crustose Coralline Algae pink,NA,5,0.06953238730631343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,DIP,Diplosoma listerianum,Diplosoma listerianum,5,0,103579,3129,17.63909772444,18.6695952263858,31.3482112884521,12.994176864624,30.1686813354492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,DVE,Didemnum vexillum,Didemnum vexillum,5,0,250126,772,17.065951320469,17.2458409251783,23.92702293396,15.2845598220825,22.0747852325439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,ESSU,Ectopleura spp.,Ectopleura crocea,5,0,117981,1568,16.8434295890477,18.9097932073017,31.3482112884521,15.5607042312622,22.5004081726074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,HAPA,Halichondria panicea,Halichondria panicea,5,0,165853,15132,15.5530770344247,16.4127689250527,30.9831409454346,7.98520078659058,19.914571762085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,HBCO,Hydrozoa-Bryozoa complex,NA,5,0.6830590172761933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,ISS,Isodictya spp.,Isodictya deichmannae,5,1.9500614693289246e-4,157402,80,17.8710032701492,19.603864133358,22.7443351745605,11.4613450527191,21.7799606323242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,MSS,Metridium senile,Metridium senile,5,0.11368664732446072,100982,11332,15.5550825943243,16.5757883271677,30.9613056182861,11.85426902771,19.8262265205383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,MUSS,Mussel,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,1995,-11,Deep,25.9,URF,Unidentified red fleshy crust,NA,5,0.020617279591473293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,AGL,Aplidium glabrum,Aplidium glabrum,6,0,103647,357,14.4398533779557,16.4223903122476,29.050708770752,5.33258810043335,20.533842086792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,ALS,Alcyonium siderium,Alcyonium digitatum,6,0.0443330856430589,125333,46188,15.3421502233283,16.4871509585839,24.4132137298584,12.3421993255615,18.7468719482422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,BAS,Balanus and Amphibalanus spp.,Balanus balanus,6,1.0304422069127953e-4,106213,5314,14.3062632502157,15.1672161724484,26.6752090454102,6.49046421051025,19.8198150634765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,BOVO,Botrylloides violaceus,Botrylloides violaceus,6,0.0014020972878074362,148715,3042,19.4342865574794,19.947184435472,31.1607685089111,14.4321365356445,29.0220985412598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,CCAP,Crustose Coralline Algae pink,NA,6,0.07204478833915377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,DIP,Diplosoma listerianum,Diplosoma listerianum,6,0.0011298062768651004,103579,3129,17.63909772444,18.6695952263858,31.3482112884521,12.994176864624,30.1686813354492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,DVE,Didemnum vexillum,Didemnum vexillum,6,0.004000421862874648,250126,772,17.065951320469,17.2458409251783,23.92702293396,15.2845598220825,22.0747852325439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,ESSU,Ectopleura spp.,Ectopleura crocea,6,0,117981,1568,16.8434295890477,18.9097932073017,31.3482112884521,15.5607042312622,22.5004081726074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,HAPA,Halichondria panicea,Halichondria panicea,6,1.5456633103691928e-4,165853,15132,15.5530770344247,16.4127689250527,30.9831409454346,7.98520078659058,19.914571762085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,HBCO,Hydrozoa-Bryozoa complex,NA,6,0.626590887077652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,ISS,Isodictya spp.,Isodictya deichmannae,6,0.0023813113732257204,157402,80,17.8710032701492,19.603864133358,22.7443351745605,11.4613450527191,21.7799606323242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,MSS,Metridium senile,Metridium senile,6,0.007669434140022375,100982,11332,15.5550825943243,16.5757883271677,30.9613056182861,11.85426902771,19.8262265205383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,MUSS,Mussel,NA,6,0.0020242543425246246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2001,-5,Deep,25.9,URF,Unidentified red fleshy crust,NA,6,0.07229009057090954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,AGL,Aplidium glabrum,Aplidium glabrum,9,0,103647,357,14.4398533779557,16.4223903122476,29.050708770752,5.33258810043335,20.533842086792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,ALS,Alcyonium siderium,Alcyonium digitatum,9,0.12149087648070196,125333,46188,15.3421502233283,16.4871509585839,24.4132137298584,12.3421993255615,18.7468719482422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,BAS,Balanus and Amphibalanus spp.,Balanus balanus,9,0.0034579117643711113,106213,5314,14.3062632502157,15.1672161724484,26.6752090454102,6.49046421051025,19.8198150634765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,BOVO,Botrylloides violaceus,Botrylloides violaceus,9,0,148715,3042,19.4342865574794,19.947184435472,31.1607685089111,14.4321365356445,29.0220985412598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,CCAP,Crustose Coralline Algae pink,NA,9,0.12084738055157379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,DIP,Diplosoma listerianum,Diplosoma listerianum,9,2.105641578717613e-4,103579,3129,17.63909772444,18.6695952263858,31.3482112884521,12.994176864624,30.1686813354492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,DVE,Didemnum vexillum,Didemnum vexillum,9,1.374988240232156e-4,250126,772,17.065951320469,17.2458409251783,23.92702293396,15.2845598220825,22.0747852325439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,ESSU,Ectopleura spp.,Ectopleura crocea,9,0.004669827220179322,117981,1568,16.8434295890477,18.9097932073017,31.3482112884521,15.5607042312622,22.5004081726074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,HAPA,Halichondria panicea,Halichondria panicea,9,0,165853,15132,15.5530770344247,16.4127689250527,30.9831409454346,7.98520078659058,19.914571762085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,HBCO,Hydrozoa-Bryozoa complex,NA,9,0.5969378377982246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRD,DW,2002,-4,Deep,25.9,ISS,Isodictya spp.,Isodictya deichmannae,9,0.007775338026658836,157402,80,17.8710032701492,19.603864133358,22.7443351745605,11.4613450527191,21.7799606323242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
